Episode 0       Average Score: -1.00    Average Steps: 12.00    Accuracy: 0.000000
Episode 256     Average Score: -0.27    Average Steps: 10.12    Accuracy: 0.363281
Episode 512     Average Score: -0.19    Average Steps: 9.91     Accuracy: 0.406250
Episode 768     Average Score: -0.30    Average Steps: 10.12    Accuracy: 0.351562
Episode 1024    Average Score: -0.40    Average Steps: 10.33    Accuracy: 0.300781
Episode 1280    Average Score: -0.34    Average Steps: 10.22    Accuracy: 0.332031
Episode 1536    Average Score: -0.29    Average Steps: 9.93     Accuracy: 0.355469
Episode 1792    Average Score: -0.29    Average Steps: 10.01    Accuracy: 0.355469
Episode 2048    Average Score: -0.42    Average Steps: 10.32    Accuracy: 0.289062
Episode 2304    Average Score: -0.36    Average Steps: 10.26    Accuracy: 0.320312
Episode 2560    Average Score: -0.36    Average Steps: 10.24    Accuracy: 0.320312
Episode 2816    Average Score: -0.31    Average Steps: 10.16    Accuracy: 0.343750
Episode 3072    Average Score: -0.29    Average Steps: 10.11    Accuracy: 0.355469
Episode 3328    Average Score: -0.31    Average Steps: 10.18    Accuracy: 0.343750
Episode 3584    Average Score: -0.23    Average Steps: 9.83     Accuracy: 0.382812
Episode 3840    Average Score: -0.31    Average Steps: 10.05    Accuracy: 0.343750
Episode 4096    Average Score: -0.28    Average Steps: 10.26    Accuracy: 0.359375
Episode 4352    Average Score: -0.25    Average Steps: 10.07    Accuracy: 0.375000
Episode 4608    Average Score: -0.24    Average Steps: 9.93     Accuracy: 0.378906
Episode 4864    Average Score: -0.38    Average Steps: 10.18    Accuracy: 0.308594
Episode 5120    Average Score: -0.30    Average Steps: 10.07    Accuracy: 0.351562
Episode 5376    Average Score: -0.42    Average Steps: 10.45    Accuracy: 0.289062
Episode 5632    Average Score: -0.36    Average Steps: 10.26    Accuracy: 0.320312
Episode 5888    Average Score: -0.32    Average Steps: 10.07    Accuracy: 0.339844
Episode 6144    Average Score: -0.35    Average Steps: 10.35    Accuracy: 0.324219
Episode 6400    Average Score: -0.31    Average Steps: 10.12    Accuracy: 0.343750
Episode 6656    Average Score: -0.27    Average Steps: 10.11    Accuracy: 0.367188
Episode 6912    Average Score: -0.46    Average Steps: 10.54    Accuracy: 0.269531
Episode 7168    Average Score: -0.30    Average Steps: 9.94     Accuracy: 0.347656
Episode 7424    Average Score: -0.40    Average Steps: 10.35    Accuracy: 0.300781
Episode 7680    Average Score: -0.38    Average Steps: 10.28    Accuracy: 0.312500
Episode 7936    Average Score: -0.27    Average Steps: 9.96     Accuracy: 0.363281
Episode 8192    Average Score: -0.38    Average Steps: 10.19    Accuracy: 0.312500
Episode 8448    Average Score: -0.26    Average Steps: 10.00    Accuracy: 0.371094
Episode 8704    Average Score: -0.40    Average Steps: 10.21    Accuracy: 0.300781
Episode 8960    Average Score: -0.23    Average Steps: 9.97     Accuracy: 0.386719
Episode 9216    Average Score: -0.47    Average Steps: 10.52    Accuracy: 0.265625
Episode 9472    Average Score: -0.36    Average Steps: 10.27    Accuracy: 0.320312
Episode 9728    Average Score: -0.32    Average Steps: 10.14    Accuracy: 0.339844
Episode 9984    Average Score: -0.30    Average Steps: 10.03    Accuracy: 0.347656
Episode 10240   Average Score: -0.31    Average Steps: 10.20    Accuracy: 0.343750
